"","x"
"1","Aligning Learning Incentives of Students and Teachers: Results from a Social Experiment in Mexican High Schools"
"2","Asymmetric Learning from Financial Information"
"3","BAD NEWS: AN EXPERIMENTAL STUDY ON THE INFORMATIONAL EFFECTS OF REWARDS"
"4","Banking the Unbanked? Evidence from Three Countries"
"5","Banking the poor via savings accounts: Evidence from a field experiment"
"6","Business training plus for female entrepreneurship? Short and medium-term experimental evidence from Peru"
"7","Can Online Off-the-Shelf Lessons Improve Student Outcomes? Evidence from a Field Experiment"
"8","Can unconditional cash transfers raise long-term living standards? Evidence from Zambia"
"9","Combining pre-school teacher training with parenting education: A cluster-randomized controlled trial"
"10","Conveniently Upset: Avoiding Altruism by Distorting Beliefs about Others’ Altruism"
"11","Cursed beliefs with common-value public goods"
"12","DO ANTI-POVERTY PROGRAMS SWAY VOTERS? EXPERIMENTAL EVIDENCE FROM UGANDA"
"13","DOES WORKING FROM HOME WORK? EVIDENCE FROM A CHINESE EXPERIMENT"
"14","DOUBLE FOR NOTHING? EXPERIMENTAL EVIDENCE ON AN UNCONDITIONAL TEACHER SALARY INCREASE IN INDONESIA"
"15","Diffusion of agricultural information within social networks: Evidence on gender inequalities from Mali"
"16","Does improved storage technology promote modern input use and food security? Evidence from a randomized trial in Uganda"
"17","Does inducing informal firms to formalize make sense? Experimental evidence from Benin"
"18","Estimating the Impact of Microcredit on Those Who Take It Up: Evidence from a Randomized Experiment in Morocco"
"19","Evaluating Behaviorally Motivated Policy: Experimental Evidence from the Lightbulb Market"
"20","Experimental departures from self-interest when competing partnerships share output"
"21","Failure vs. displacement: Why an innovative anti-poverty program showed no net impact in South India"
"22","Formal finance and informal safety nets of the poor: Evidence from a savings field experiment"
"23","Formalization without certification? Experimental evidence on property rights and investment"
"24","Ghostbusting in Detroit: Evidence on nonfilers from a controlled field experiment"
"25","Grain today, gain tomorrow: Evidence from a storage experiment with savings clubs in Kenya"
"26","Household economic strengthening through financial and psychosocial programming: Evidence from a field experiment in South Africa"
"27","How Do Firms Form Their Expectations? New Survey Evidence"
"28","How Do Voters Respond to Information? Evidence from a Randomized Campaign"
"29","How Elastic Are Preferences for Redistribution? Evidence from Randomized Survey Experiments"
"30","How information affects support for education spending: Evidence from survey experiments in Germany and the United States"
"31","INTERFIRM RELATIONSHIPS AND BUSINESS PERFORMANCE"
"32","Incentives, Commitments, and Habit Formation in Exercise: Evidence from a Field Experiment with Workers at a Fortune-500 Company"
"33","Incentivizing Calculated Risk-Taking: Evidence from an Experiment with Commercial Bank Loan Officers"
"34","Is a Dream Deferred a Dream Denied? College Enrollment and Time-Varying Opportunity Costs"
"35","Leadership and the voluntary provision of public goods: Field evidence from Bolivia"
"36","Liking what others ‘‘Like’’: using Facebook to identify determinants of conformity"
"37","Mentors or Teachers? Microenterprise Training in Kenya"
"38","Microcredit Impacts: Evidence from a Randomized Microcredit Program Placement Experiment by Compartamos Banco"
"39","Moral Suasion and Economic Incentives: Field Experimental Evidence from Energy Demand"
